COCO ID,Caption
76616,A computer sits atop a computer desk with a coffee cup.
105160,A coffee cake sitting on a blue plate with a spoon containing a smiley face.
64933,"a living room with a leather sofa , flat screen television, throw pillows and a wood slatted coffee table."
420839,The large coffee mug has designs inside and outside of the cup.
72439,"A living room with two sofas, a coffee table, throw pillows, a large entertainment center, and a flatscreen tv."
412681,A view from a hotel suite bedroom showing the couch and coffee table.
564497,A laptop in a bright yellow coffee house.
54841,A breakfast bowl consisting of blueberry sconce and strawberry with side of coffee
157562,"The inside of a coffee shop with a big sofa, chairs and various lights and signs through the shop."
51855,some brown kitchen cabinets in a kitchen and a coffee maker
636399,A counter in a coffee house with choices of coffee and syrup flavors.
559351,A man taking a selfie in his microwave reflection of himself and coffee cup.
481474,Decorated coffee cup with spoon next to miniature bicycle.
592445,"A small kitchen with a sink, mini fridge, coffee maker and a microwave. "
562088,Corner desk with coffee pot and computer on top in front of window
494695,A coffee cup next to a muffin and a banana.
491334,A coffee maker sitting on top of a table.
591968,a kitchen with a sink a coffee maker and a microwave
367796,Closeup of  bathroom sink with oral care devices and a coffee mug.
364107,"A view of living room's sofa, television and coffee table."
482170,a coffee cup with a spoon and a small bike next to it
695936,A woman pouring coffee into cups on a counter.
35022,Two cups of black coffee sitting next to a coffee pot. 
579438,An unattached toilet sits on a sidewalk with coffee mugs on its lid
344811,A delicious look coffee cake appears to be made with blackberries and has a crumb topping. 
634284,"A coffee shop is equipped with pots of coffee, paper cups and other supplies."
489429,A mug is being filled with coffee near a cream container.
358984,A woman sitting at a table with a coffee cup and a Halloween Decoration.
62756,Shades of coffee combined with white create a subtly sophisticated bathroom.
56419,A bowl of food and a cup of coffee on a checkered placemat. 
416967,a hot dog with mustard and a soda
38945,"An iphone, pen and soda can on a table."
298708,Two plates with hamburgers and chips in each and one can of soda on the side. 
311721,a close up of a sandwich on a plate near a soda
577029,A personal pizza in a box with 20 ounce soda pop
102547,A desk covered with soda cans and a lap top is in the corner.
408582,A hot dog and soda on a table with a mushroom
820736,The black and white dog chews on the empty soda bottle.
496365,People are eating pizza and drinking soda at a table. 
104188,A picture of two hot dogs and a cup of soda
4014,an open fully stocked fridge with eggs and soda
620152,Hoagie with fried food and soda on table
359138,Someone placed a bottle of soda on the window sill.
216762,A bottle of soda sitting on a black bench
391520,two hotdogs on white sheets next to a grape soda from a brown bag
37523,"There is an iphone, a blue pen, and a soda"
83849,A cup with soda in front of a panini with a side of greens.
320179,There is a sign for doughnuts above a sign for soda pop.
746917,Two people enjoying hot dogs and soda pop.
14552,A man is at a table eating pizza with a soda machine behind him.
368320,A BBQ sandwish is paired with a soda on a faux-wood table.
242110,A pile of pizza boxes and soda packages with people standing around it.
219375,A soda bottle sitting on a park bench.
80917,A store with a number of soda signs. 
562169,Looking down at a cherry soda and a box of fresh powdered donuts
545014,a large plate of food with a glass of soda by it
628585,"A hot dog, beef sandwich, and soda on a table in the Costco food court."
762928,The pizza is next to a pitcher of soda in a restaurant. 
776050,a red soda machine on a long road
317631,A sandwich and can of soda on a table.
486893,Two bottles of soda sit near a sandwich.
215269,"A small pizza and a soda pop sit upon a table with magazines, a phone and other items."
11234,A pastry and a bottle of orange soda on a red tray.
307443,A sandwich with a soda on top of a table.
512230,A large pizza and a soda sitting on a table.
50160,A dinner plate with spaghetti and broccoli with soda for the drink
75497,"Two friends eat pizza fresh out of the box with soda nearby,"
70015,A kitchen with a soda machine and black and white tiles.
490954,"A delicious meal of rice,chicken, and broccoli with water and soda to finish the meal. "
532025,a sandwich a fork and two soda pops
372136,A doughnut and soda are shown sitting on a table.
365464,A plate of a roast beef soda and cola in a glass cup.
475935,Table with assorted foods and a soda in a glass.
311307,A small cow stands near a market display of soda bottles.
411002,a plate of fruit and vegetables sits in front of some soda 
100414,Two hot dogs sit on a white paper plate near a soda cup which are sitting on a green picnic table while a bike and a silver car are parked nearby.
126980,A hot dog with condiments and a glass full of soda sits on top of a diner table.
370583,Work truck with soda bottles and foreign language parked in front of a bar
544822,a very big pizza sits in front of a cup of soda
533733,A hot dog sitting next to a soda and ketchup.
369682,"On the table are a banana split, yet untouched, and another chocolate soda fountain treat."
780092,A teenaged boy on a school campus holding a soda and jumping on his skateboard. 
652145,Two little boys eating pizza and soda at school.
229100,A tray with three hot dogs loaded with toppings sitting on a table with a couple of soda cans.
662809,"A plate with bananas, ice cream and soda on it."
487697,A dog playing with a plastic soda bottle on the floor
86075,A pepsi soda on the table with a tray of bread and vegetables
631441,A piece of pizza sat on a plate with a cup of soda near by.
782244,A margarita pizza in a restaurant with a soda on the side. 
45524,"A soda can, a pen, a cell phone and a fruit drink mix packet sitting on a table with a computer keyboard."
503203,A close up view of a pizza sitting on a table with a soda in the back.
669652,A woman seated and another standing with a cake and soda on the table
510476, a partially eaten sandwich and a soda
74844,"A man taking a selfie in a bathroom with a toilet, sink and shower."
206291,a man riding a blue surfboard on top of a wave.
408777,An old man wearing glasses is looking at the camera. 
305847,there is a man standing and playing a video game
57329,An old fashioned biplane with its propeller spinning.
686827,An oven sits on a sidewalk outside a house.
637139,A speckle coated dog is catching a blue Frisbee.
72936,A yellow and blue bus is parked in a lot.
192612,Lady teach a class and uses her laptop
712469,A woman holding a smart phone in her hands.
112134,Two men in yellow jackets sitting at a table eating
220314,Two zebras are standing in the grass near a tree.
532260,Man leaning over the side of an old green steam engine train. 
262281,A table with plates of food that include pizza and salad.
311437,A woman about to catch a frisbee on a beach.
718039,a man and a cat lying on a couch
91511,A cat lays down on top of a book on a gray office chair.
216364,"A glass dish of crisp, surrounded by apples, a creamer, and a spoon. "
137056,A bathroom with a white toilet sitting next to a sink.
346325,there is a fire hydrant that is painted all silver
494689,A man on a surfboard riding a wave in the ocean.
415840,Men in hard hats are on small motorcycles.
103869,A large orange cat sleeps on the hood of a car.
518382,A woman pushing a cart filled with lots of luggage.
247811,Two giraffe and a zebra are standing in a field.
440172,Black television sitting on the corner of a bathroom wall. 
40429,A group of young people sitting on a couch next to a guy playing a Nintendo Wii.
631719,A wildly painted utility truck sits in a gravel parking lot
609418,A man sitting under a stop sign on the side of street.
67378,Cow graze in a field outside of a rural township.
21925,A pan of homemade pizza with vegetable and cheese toppings.
733095,THIS IS A MAN AT WORK AND I THINK HE WORKS WITH LEMONS
223388,A person riding on a snowboard doing a round on the snow.
293627,a bathroom with a bath tub and a toilet
405633,The woman is enjoying ner time at the keyboard.
774266,A fire hydrant with a strange face on it.
687934,a truck sits in front of a building 
671131,A bus that is headed towards the subway shuttle for an airport. 
385255,A group of chefs preparing food inside of a kitchen.
52365,a skate park with multiple kids on skateboards
367631,A man is driving a truck down a narrow street.
255328,cheese pizza with leaves on it and cheese and tortilla shells 
162085,A pair of young women hold tennis balls and rackets.
391538,"A person who is  skiing in a desolate, snowy area."
770191,A red and white terrier dog chewing on a yellow frisbee. 
810227,A pair of high heels sitting near a vase with flowers in it.
176557,Two giraffe standing in the grass with necks bent looking down.
413993,three bags packed in the middle of a tidy livingroom
490046,The bowl of noodle salad has broccoli and meat in it.
153901,An open laptop computer sitting on top of a desk.
708378,A man and a women posing next to one another in front of a table.
389859,A meal consists of a burger and a salad.
110029,"A cluttered desk with things like magazines, cans of soda and a laptop"
261074,an image of a airplane flying over the water
747989,Two guys on a sofa one holding a remote in his right hand.
527311,A dresser drawer that has toys on top of it.
273319,A fan sitting in the middle of a room next to a sink.
7322,A pile of junk sitting next to a curb on green grass.
384777,A clock on a pole is standing on the sidewalk.
534231,An airplane with an advertisement on it sitting near a building.
218206,a bear partially submerged in a body of water
101137,A pizza with mushrooms and carrots as toppings
154772,A crow perched on an empty park bench.
765828,A man on a surfboard riding a wave.
714881,A blue office chair sitting next to a wooden desk.
330729,A hand holding a pair of giant scissors above boxes.
4410,A messy room with a laptop on a bed.
93671,A close up of toothbrush bristles near a mirror
501156,A set of two teddy bears sitting beside of one another.
812984,Two newborn lambs are standing behind their mother. 
653542,a couple celebrating a special occasion standing over a cake
540545,The boat is sailing in the water by the bridge.
578135,a man is doing a trick on a skateboard
809460,A person on skis jumps down a snowy hill.
618503,men staning in the street and holding cell phones
308053,An adult and child giraffe standing next to a street of traffic.
678062,A person on a surfboard in the water.
778973,A boy standing in front of a tee ball tee with a bat.
534923,The baseball player is waiting for the pitch.
409257,Three tennis rackets are fixed to a wall with pictures above them.
10430,A man is at the bottom a ski slope.
800778,a plate full of delicious looking glazed donuts
25866,A truck advertising a baseball team on it.
691574,"A bathroom with a sink, vanity and shower stall."
713073,A group of people walking around a parking lot.
19656,"Vehicles at a car show are shown, a small car and a motorcycle.
"
172023,A church with a stain glassed window of the virgin mary.
136953,A blue door with a white and black dog in front of it.
808890,A quiet city street is seen in this picture.
569366,A very tall pretty tower with a cross on top.
241413,A clock with an eagle on it stands before a clock shaped like an owl
607422,Two trains who are at a train station.
169064,A crowd of people stand beside a train
342112,Some old buildings have street signs next to them.
288312,A yellow bird sitting on an oddly curved branch.
291662,A gray fire hydrant with a yellow top.
17650,Two people are under an umbrella on night at an intersection.
748448,A bird that is standing in front of a plate.
337514,The contents of a bag placed out on a blanket.
432058,A man presents a cake with lit candles on it to a seated man.
545882,a lady skiing looking back at a man skiing
87135,a man in a red jacket and hat on a boat
398403,A man in black shirt falling off of a surfboard in ocean.
670843,A woman in a bra and black and pink pants in a kitchen.
690026,A man that is standing with a suitcase.
